Title,Year,Genre,Rating,Certificate,Directors,Cast,Description,Runtime
Bully (2001) ,2001,"Biography, Crime, Drama",6.9,TV-MA,['Larry Clark'],"['Brad Renfro', 'Bijou Phillips', 'Rachel Miner', 'Nick Stahl', 'Michael Pitt', 'Leo Fitzpatrick', 'Kelli Garner', 'Daniel Franzese', 'Nathalie Paulding', 'Jessica Sutta', 'Ed Amatrudo', 'Steve Raulerson', 'Judy Clayton', 'Alan Lilly', 'Irene B. Colletti', 'Elizabeth Dimon', 'Ru Flynn', 'Jo-Aynne Von Born', 'Marc Pearson', 'Joseph Shrouder', 'Scott McHugh', 'John Parker', 'Phillip Ortiz', 'Lindzee Warren', 'Alexandra Steele', 'Sam Steele', 'Rick Amicucci', 'Rick Seguso', 'Jesse Dechant', 'Frank Ilarraza', 'Anthony Barrineau', 'Derek Oliveira', 'Carlos Hernandez', 'Danny Norton', 'Paul Aldanée', 'Larry Clark', 'Trish Dempsey', 'Deborah Smith Ford', 'Brent Joseph', 'Sarah Knowlton', 'Joseph Marhee', 'Al Quinn']","Bully: Directed by Larry Clark. With Brad Renfro, Bijou Phillips, Rachel Miner, Nick Stahl. A pack of naïve teenagers conspire to murder a mutual friend, whose aggressive demeanour has proven too much.",108
Tempted (2001) ,2001,Thriller,5.5,R,['Bill Bennett'],"['Saffron Burrows', 'Burt Reynolds', 'Mike Starr', 'Randy Austin', 'Kyle Erby', 'Peter Facinelli', 'Carol Sutton', 'Eric Mabius', 'George DiCenzo', 'David Jensen', 'Lisha Brock', 'Jack Radosta', 'R.L. Burnside', 'Kenny Brown', 'Cedric Burnside', 'Jennifer Lindsley', ""Randy 'Zeke' Fonseca"", 'Chris Ardoin', 'Nathaniel Fontenot', 'Harold Guillory', 'Eric Minix', 'Wayne Singleton', 'Eva Perry', 'Michael Arata', 'Joseph P. Waguespack Jr.', 'Marco Demma', 'Jay Pearson', 'Ron Flagge', 'Marvin Day', 'Lyla Hay Owen', 'Danny Fendley', 'Jeff Galpin', 'Ramon Olavarietta', 'Thomas Uskali', 'John G. Tiliakos', 'Becky Allen', 'Julia Lashae', 'Kevin M. White']","Tempted: Directed by Bill Bennett. With Saffron Burrows, Burt Reynolds, Mike Starr, Randy Austin. A wealthy man married to a beautiful younger woman puts her fidelity to the test.",95
Tail Sting (2001) ,2001,"Action, Adventure, Horror",2.3,R,['Paul Wynne'],"['Laura Putney', 'Robert Merrill', 'Shirly Brener', 'Gulshan Grover', 'Tara Price', 'Jean Carol', 'Elizabeth Perry', 'Joe Boony', 'Guy Bracca', 'Conroe Brooks', 'Jager Dan', 'Ray Davis', 'Tony Dimond', 'Sean P. Donahue', 'Jamie Douglass', 'Shane Duffy', 'Thomas Dunn', 'Jake Eberle', 'Shane Fraser', 'Shelly Gant', 'David Alan Graf', 'Timothy Griffin', 'George Hoth', 'Kat Jensen', 'Brennon Jones', 'Paul Kannak', 'Morgan Keiser', 'Rick Kelly', 'Seth Marstrand', 'Dave McCracken', 'Nicole Miner', ""Patrick O'Sullivan"", 'Todd Sherry']","Tail Sting: Directed by Paul Wynne. With Laura Putney, Robert Merrill, Shirly Brener, Gulshan Grover. A pack of massive genetically altered Scorpions escape containment on an airplane, turning passengers into victims and forcing one ordinary woman to confront her worst fears.",93
Zelimo (2001) ,2001,Drama,5.9,Not Rated,['Aleks Rosenberg'],"['Sy Bondy', 'Marek Skupienski', 'Jake Gomolinski-Ekel', 'Mario Prado Jr.', 'Christopher M. Pagan', 'Louis Candelaria', 'Max Finestone', 'Tatyana Zbirovskaya', 'Henry López', 'Adam Siegel', 'Renata Golbert', 'Anatoliy Shvarts', 'Misha Kanchalovsky', 'Frank Macedonio', 'Rock Rose', 'Stephen Valentin', 'Maria Maestas McCann', 'Danil Tavuzhnyanskiy', 'Jillian Linn', 'J.J. Ackell', 'Isaiah Tanenbaum', 'Sam Coates', 'Emily Donahoe', 'Shawn Gillespie', 'Vladimir Tartovsky', 'Alan Cagan', 'Igor Aleksandr', 'Bob Kaliban', 'Eugene Mekinulov', 'Dan Madonia', 'Veronika Bellová']","Zelimo: Directed by Aleks Rosenberg. With Sy Bondy, Marek Skupienski, Jake Gomolinski-Ekel, Mario Prado Jr.. In 1964, in the Catskills, Zelimo, a Russian Jewish lad, goes to a camp for Jewish boys, where he's miserable, picked on and worse. His mother is working at the neighboring girls' camp, so he joins her there. Over the course of the summer, in a coming of age story, he has flashbacks to his childhood in Central Russia and his harrowing escape in 1959. His summer passage is aided by Hector, camp counselor, Cuban Jew, and macho warrior who takes Zelimo under his wing. A knife, a bow, a rowboat, and Zelimo's sketchbook are each part of his passage.",91
Escaping Jersey (2001) ,2001,,7.1,,['Jan Marlyn Reesman'],"['Ellen Crawford', 'Mike Genovese', 'Pamela Zane', 'Brianna', 'Jody Bradley', 'Ashley Schoff', 'Linda Bradley', 'Frances Peach', 'Grayce Klass', 'Brenda Allie', 'Brandi Alexander', 'N. Barry Carver', 'David Guzzone', 'Kristopher Lamorte', 'Tony Orr', 'Matthew X. Wizniak']","Escaping Jersey: Directed by Jan Marlyn Reesman. With Ellen Crawford, Mike Genovese, Pamela Zane, Brianna. Told as a remembrance, a chronicled, episodic, coming of age, dark-comedy.

It spans the 50s and 60s and incorporates music of the era.

Unconventional character driven and situation dependent, the stories' vignettes comment on family, love, loneliness, communicating and surviving.

Influenced by the film Breakfast At Tiffanys, teenager Janice, aspires to be Holly-Go-Lightly.",
"Hemingway, the Hunter of Death (2001) ",2001,"Adventure, Drama",5.9,,['Sergio Dow'],"['Albert Finney', 'Paul Guilfoyle', 'Fele Martínez']","Hemingway, the Hunter of Death: Directed by Sergio Dow. With Albert Finney, Paul Guilfoyle, Fele Martínez. During the Kenyan struggle for independence from the British in the late 1950s, a scientific safari led by Ernest Hemingway undertakes the ascent of Mount Kenya. Hemingway has been warned by Kikuyu tribe members not to violate the sacred laws of Mwene-Nyaga, the mountain's god, by harming the elephants which ascend its peaks because it will lead to self-destruction, as any aggression against against nature is an act of suicide. The expeditions consists of the author, Alex Smith, British police commissioner, Renata, the photographer and Hemingway's lover, Antonio, Hemingway's godson, a Spanish biologist and frustrated bullfighter, Kamau, a Kikuyu tribe member who secretly fights for Kenya's independence with the Mau-Mau rebels. The expedition's progress is impeded as political and personal forces collide and Hemingway comes face-to-face with his final destiny in facing the decision to shoot the Sacred Mammoth who roams the highest peaks of Mount Kenya.",
Firestorm Rising (2001) ,2001,"Action, Drama",4.0,,['Francis Hamada'],"['Michael Neeley', 'Christopher May', 'Alec Phoenix', 'GiGi Erneta', 'Eva Frajko', 'Erika Michaels', 'David Jean Thomas', 'Ginia Zobel', 'Matt Lattimore', 'Andrew Palmer', 'Roy Werner', 'Jeff Rector', 'Danton Mew', 'Patrick Hillan', 'Luis Moro', 'Christoph Weihman', 'Brandon Bateman', 'Brigid Purdy', 'Markus Machado', 'J.D. Ferguson', 'Joyce Storey', 'Holly Poplawski', 'Jay Lance', 'Cindy Preuss', 'Erin Tokunaga', 'Angelina Tang', 'Wilson Sun', 'Jimmy Lau', 'Randall Ng', 'Judy Lee', 'Scott Ruggels', 'Andre Morningstar', 'Gregg Williams', 'Charles Sachsel', 'Fred Klink', 'Ray Beazley', 'George May III', 'David Camarlinghi', 'John Fornbacher', 'Brad Batchelor', 'James Bolko', 'Eric Fung', 'Jeff Guerrero', 'Tony Huey', 'Terry Ong', 'Grant Price', 'Bryan Soo', 'Maggie Tang', 'Pat Wong']","Firestorm Rising: Directed by Francis Hamada. With Michael Neeley, Christopher May, Alec Phoenix, GiGi Erneta. After tracking down information on stolen nuclear warheads in the Balkans, a special covert operative decides to retire and settle down to a safe desk job. But his recent missions have angered dark forces who are responsible for a dastardly terror plot against the U.S. After losing his woman to an assassin's bullet, he decides to go after the stolen nukes with the help of his fellow CIA associates. But will he find the last of the bombs in time? Will he be able to rescue a lonely co-worker whose unrequited love for him has haunted her for years, before she too is killed by his enemies?",
Unsavory Characters (2001) ,2001,"Crime, Drama",5.6,Unrated,['Richard W. Haines'],"['Jacqueline Bowman', 'Eric Leffler', 'Anthony Peraticos', 'Michael Masucci', 'Stan Carp', 'Lee Brady', 'Corey Allen Kotler', 'John Knox', 'Frank Pascale', 'Mike Conlon', 'Dan Gregory', 'Angela Moore', 'Mark Schmetterer', 'Chris Martin', 'Arthur Lundquist', 'Ali Ghauri', 'Abigail Page', 'Joseph M. Roach', 'Nadja Noon', 'Laura Saiter', 'Laura Gardner', 'Lisa Gardner', 'Leonardo Chico', 'Carlos Saldivia', 'Juan C. Hernandez', 'Ron Moreno', 'Nick Raio', 'Nelson Page', 'Stephen Linetsky', 'Jeffrey Page', 'Luis Torres', 'Frank Molina', 'Manuel Dej Cabral', 'Robert Varipapa', 'Peter Partyla', 'Peggy Lee Brennan', 'Geoffrey Haberer', 'David Vega', 'Hank Maros', 'Jose Sanchez', 'John Ranaudo Jr.', 'Stephen Smallwood', 'Lou Torres', 'Richard W. Haines', 'Rob Minutoli']","Unsavory Characters: Directed by Richard W. Haines. With Jacqueline Bowman, Eric Leffler, Anthony Peraticos, Michael Masucci. A novelist becomes involved with a femme fatale who is the wife of a nightclub owner and murder and betrayal are the result.",87
Delivering Milo (2001) ,2001,"Comedy, Drama, Fantasy",5.7,PG,['Nick Castle'],"['Anton Yelchin', 'Albert Finney', 'Bridget Fonda', 'Campbell Scott', 'Hank Harris', 'Kenny Blank', 'Douglas Spain', 'Alison Lohman', 'Lesley Ann Warren', 'Gary Farmer', 'Quincy LeNear Gossfield', 'Michael Welch', 'John Cho', 'Keith Gordon', 'Janis Corsair', 'Roberta Dean', ""Dan O'Bannon"", 'Danny Rey Silvas', 'Sean Michael Afable', 'Christian Copelin', 'Sarah Dampf', 'Rachel Griffin', 'Vikrum Shah', 'Max Farmoth', 'Oliver Kindred', 'Robert Starr', 'Ines Wurth', 'Nicholas Giordano', 'Peter Nelson', 'Eric DaRe', 'Kathleen Farrell', 'Tatyana Yassukovich', 'Kipp Tribble', 'Amorika Amoroso', 'Gene Kaz', 'Stephen Pisani', 'Efren Ramirez', 'David C. Roehm Sr.']","Delivering Milo: Directed by Nick Castle. With Anton Yelchin, Albert Finney, Bridget Fonda, Campbell Scott. A guardian angel has 24 hours to convince a soul that life on Earth is worth the effort.",94
The Body (2001) ,2001,"Drama, Mystery, Romance",5.3,PG-13,['Jonas McCord'],"['Antonio Banderas', 'Olivia Williams', 'John Shrapnel', 'Derek Jacobi', 'Jason Flemyng', 'Lillian Lux', 'John Wood', 'Makram Khoury', 'Vernon Dobtcheff', 'Ian McNeice', 'Mohammad Bakri', 'Yoav Dekelbaum', 'Sami Samir', 'Jordan Licht', 'Limor Goldstein', 'Ariel Horowitz', 'Roi Horowitz', 'Shai Sharabi', 'Lillian Lax', 'Arieh Elias', 'Sivan Shwartz', 'Gilad Bergman', 'Halima Abu Aguva', 'John Glover']","The Body: Directed by Jonas McCord. With Antonio Banderas, Olivia Williams, John Shrapnel, Derek Jacobi. A crucified body dated back to the first century A.D is uncovered at an ancient cave in Jerusalem. Trouble ensues as word spreads.",109
